Genes,aTc,W
b1000_3,aTc_4,0.968924531
b1000_3,aTc_6,0.951624888
b1000_3,aTc_8,0.931306354
b1000_4,aTc_0,1.066212522
b1000_4,aTc_2,1.028306023
b1000_4,aTc_4,1.046701688
b1000_4,aTc_6,0.997205656
b1000_4,aTc_8,1.000088162
b1084_1,aTc_0,1.081149423
b1084_1,aTc_2,0.540648146
b1084_1,aTc_4,0.455454095
b1084_1,aTc_6,0.428067768
b1084_1,aTc_8,0.40980924
b1084_2,aTc_0,1.04507239
b1084_2,aTc_2,0.470106206
b1084_2,aTc_4,0.425107476
b1084_2,aTc_6,0.42619285
b1084_2,aTc_8,0.432468225
b1084_3,aTc_0,1.095449886
b1084_3,aTc_2,0.526866588
b1084_3,aTc_4,0.499923526
b1084_3,aTc_6,0.425080387
b1084_3,aTc_8,0.427596776
b1084_4,aTc_0,0.980896338
b1084_4,aTc_2,0.462379023
b1084_4,aTc_4,0.459631247
b1084_4,aTc_6,0.391181137
b1084_4,aTc_8,0.39987158
b1094_1,aTc_0,1.134324742
b1094_1,aTc_2,0.859720638
b1094_1,aTc_4,0.741852941
b1094_1,aTc_6,0.751711485
b1094_1,aTc_8,0.737065044
b1094_2,aTc_0,1.147500318
b1094_2,aTc_2,0.80369835
b1094_2,aTc_4,0.759095016
b1094_2,aTc_6,0.735606928
b1094_2,aTc_8,0.725910476
b1094_3,aTc_0,1.04797686
b1094_3,aTc_2,0.835607151
b1094_3,aTc_4,0.763897688
b1094_3,aTc_6,0.742937633
b1094_3,aTc_8,0.726502867
b1094_4,aTc_0,1.071629887
b1094_4,aTc_2,0.773503989
b1094_4,aTc_4,0.768602895
b1094_4,aTc_6,0.728546878
b1094_4,aTc_8,0.699470129
b1763_1,aTc_0,1.089011255
b1763_1,aTc_2,0.73488456
b1763_1,aTc_4,0.679123473
b1763_1,aTc_6,0.689860063
b1763_1,aTc_8,0.606742448
b1763_2,aTc_0,1.013538293
b1763_2,aTc_2,0.806317912
b1763_2,aTc_4,0.66967319
b1763_2,aTc_6,0.675176535
b1763_2,aTc_8,0.648226344
b1763_3,aTc_0,1.042121674
b1763_3,aTc_2,0.755188361
b1763_3,aTc_4,0.670725712
b1763_3,aTc_6,0.638080875
b1763_3,aTc_8,0.629459578
b1763_4,aTc_0,0.941516556
b1763_4,aTc_2,0.707397106
b1763_4,aTc_4,0.663069072
b1763_4,aTc_6,0.648234887
b1763_4,aTc_8,0.678291672
b1686_1,aTc_0,1.02678643
b1686_1,aTc_2,1.038117925
b1686_1,aTc_4,0.865390227
b1686_1,aTc_6,1.030498734
b1686_1,aTc_8,0.907296636
b1686_2,aTc_0,1.02714697
b1686_2,aTc_2,0.985359289
b1686_2,aTc_4,0.959622916
b1686_2,aTc_6,1.001784826
b1686_2,aTc_8,1.04658866
b1686_3,aTc_0,0.94870132
b1686_3,aTc_2,0.978736977
b1686_3,aTc_4,0.932786867
b1686_3,aTc_6,0.923700635
b1686_3,aTc_8,0.875456906
b1686_4,aTc_0,0.911372111
b1686_4,aTc_2,0.916241009
b1686_4,aTc_4,0.812687524
b1686_4,aTc_6,0.950323278
b1686_4,aTc_8,0.981205236
b1718_1,aTc_0,1.107103583
b1718_1,aTc_2,1.074778811
b1718_1,aTc_4,1.018762049
b1718_1,aTc_6,1.090864473
b1718_1,aTc_8,1.077937381
b1718_2,aTc_0,1.028582161
b1718_2,aTc_2,0.983225129
b1718_2,aTc_4,1.010393903
b1718_2,aTc_6,1.055037491
b1718_2,aTc_8,0.948196478
b1718_3,aTc_0,0.980128785
b1718_3,aTc_2,1.052749362
b1718_3,aTc_4,1.001842863
b1718_3,aTc_6,0.992938067
b1718_3,aTc_8,0.980273803
b1718_4,aTc_0,1.006964474
b1718_4,aTc_2,0.968419106
b1718_4,aTc_4,0.970963297
b1718_4,aTc_6,0.95301305
b1718_4,aTc_8,0.91579313
b1290_1,aTc_0,0.981946218
b1290_1,aTc_2,1.032603009
b1290_1,aTc_4,0.897839376
b1290_1,aTc_6,0.856785522
b1290_1,aTc_8,0.857103889
b1290_2,aTc_0,1.072810746
b1290_2,aTc_2,0.991800523
b1290_2,aTc_4,0.883492152
b1290_2,aTc_6,0.892363185
b1290_2,aTc_8,0.87427261
b1290_3,aTc_0,0.947472079
b1290_3,aTc_2,0.996926639
b1290_3,aTc_4,0.889590883
b1290_3,aTc_6,0.878245777
b1290_3,aTc_8,0.806441525
b1290_4,aTc_0,0.991778521
b1290_4,aTc_2,0.983724771
b1290_4,aTc_4,0.919752652
b1290_4,aTc_6,0.883850283
b1290_4,aTc_8,0.889535604
b1913_1,aTc_0,0.990468714
b1913_1,aTc_2,1.381708059
b1913_1,aTc_4,1.13707376
b1913_1,aTc_6,0.907661893
b1913_1,aTc_8,1.104699616
b1913_2,aTc_0,0.987922728
b1913_2,aTc_2,0.712087075
b1913_2,aTc_4,0.547877329
b1913_2,aTc_6,0.62858476
b1913_2,aTc_8,1.032591776
b1913_3,aTc_0,0.884225604
b1913_3,aTc_2,1.417763742
b1913_3,aTc_4,0.747392879
b1913_3,aTc_6,1.099917101
b1913_3,aTc_8,1.038500269
b1913_4,aTc_0,0.912484121
b1913_4,aTc_2,0.733511686
b1913_4,aTc_4,0.529824035
b1913_4,aTc_6,0.691905126
b1913_4,aTc_8,0.821687475
b2341_1,aTc_0,0.998118929
b2341_1,aTc_2,0.927528608
b2341_1,aTc_4,0.925857138
b2341_1,aTc_6,0.832737623
b2341_1,aTc_8,0.841887518
b2341_2,aTc_0,1.045602946
b2341_2,aTc_2,0.885710565
b2341_2,aTc_4,0.988055675
b2341_2,aTc_6,0.98254004
b2341_2,aTc_8,0.965161089
b2341_3,aTc_0,0.923495042
b2341_3,aTc_2,0.844528586
b2341_3,aTc_4,0.850087375
b2341_3,aTc_6,0.755671731
b2341_3,aTc_8,0.750531299
b2341_4,aTc_0,0.948839792
b2341_4,aTc_2,0.81375455
b2341_4,aTc_4,0.881865558
b2341_4,aTc_6,0.864155433
b2341_4,aTc_8,0.866421686
b2530_1,aTc_0,0.960283272
b2530_1,aTc_2,0.842655179
b2530_1,aTc_4,0.69752803
b2530_1,aTc_6,0.665467303
b2530_1,aTc_8,0.641931027
b2530_2,aTc_0,1.076766414
b2530_2,aTc_2,0.832092394
b2530_2,aTc_4,0.695039073
b2530_2,aTc_6,0.745821443
b2530_2,aTc_8,0.698667256
b2530_3,aTc_0,0.917957646
b2530_3,aTc_2,0.789280662
b2530_3,aTc_4,0.65010188
b2530_3,aTc_6,0.608593441
b2530_3,aTc_8,0.602511809
b2530_4,aTc_0,0.975073484
b2530_4,aTc_2,0.769948867
b2530_4,aTc_4,0.665220366
b2530_4,aTc_6,0.695358333
b2530_4,aTc_8,0.660791498
b2576_1,aTc_0,1.046228537
b2576_1,aTc_2,0.924076634
b2576_1,aTc_4,0.925699508
b2576_1,aTc_6,0.886973107
b2576_1,aTc_8,0.848286937
b2576_2,aTc_0,1.122613371
b2576_2,aTc_2,0.927844918
b2576_2,aTc_4,0.882288994
b2576_2,aTc_6,0.871719502
b2576_2,aTc_8,0.898360006
b2576_3,aTc_0,0.903594181
b2576_3,aTc_2,0.759763155
b2576_3,aTc_4,0.882873815
b2576_3,aTc_6,0.831429995
b2576_3,aTc_8,0.794841499
b2576_4,aTc_0,0.972772434
b2576_4,aTc_2,0.859679187
b2576_4,aTc_4,0.841068492
b2576_4,aTc_6,0.818942612
b2576_4,aTc_8,0.807249016
b2990_1,aTc_0,0.981007332
b2990_1,aTc_2,0.956562544
b2990_1,aTc_4,1.000934856
b2990_1,aTc_6,0.948129604
b2990_1,aTc_8,1.005078792
b2990_2,aTc_0,1.042034798
b2990_2,aTc_2,1.029130111
b2990_2,aTc_4,1.06134929
b2990_2,aTc_6,1.109957338
b2990_2,aTc_8,1.058377305
b2990_3,aTc_0,0.907526815
b2990_3,aTc_2,0.892913048
b2990_3,aTc_4,0.96511796
b2990_3,aTc_6,0.883379949
b2990_3,aTc_8,0.874474181
b2990_4,aTc_0,0.912230027
b2990_4,aTc_2,0.933771658
b2990_4,aTc_4,0.94222934
b2990_4,aTc_6,1.001347021
b2990_4,aTc_8,0.964090639
b3006_1,aTc_0,1.087235718
b3006_1,aTc_2,0.953888413
b3006_1,aTc_4,1.028340042
b3006_1,aTc_6,1.008491217
b3006_1,aTc_8,0.989509473
b3006_2,aTc_0,1.059492955
b3006_2,aTc_2,0.984374402
b3006_2,aTc_4,0.946499395
b3006_2,aTc_6,1.075007076
b3006_2,aTc_8,1.005697172
b3006_3,aTc_0,0.966443263
b3006_3,aTc_2,0.911071401
b3006_3,aTc_4,0.976680903
b3006_3,aTc_6,0.904925866
b3006_3,aTc_8,0.894807354
b3006_4,aTc_0,0.908053899
b3006_4,aTc_2,0.874537667
b3006_4,aTc_4,0.90342754
b3006_4,aTc_6,0.943436767
b3006_4,aTc_8,0.818860852
b3071_1,aTc_0,1.100273854
b3071_1,aTc_2,1.055182337
b3071_1,aTc_4,1.026311511
b3071_1,aTc_6,1.013214942
b3071_1,aTc_8,0.96573802
b3071_2,aTc_0,1.087225324
b3071_2,aTc_2,0.976494181
b3071_2,aTc_4,1.050634682
b3071_2,aTc_6,1.107689849
b3071_2,aTc_8,1.114013241
b3071_3,aTc_0,1.029998853
b3071_3,aTc_2,0.996221996
b3071_3,aTc_4,1.01693736
b3071_3,aTc_6,1.003230159
b3071_3,aTc_8,0.936505091
b3071_4,aTc_0,1.05141415
b3071_4,aTc_2,0.727938588
b3071_4,aTc_4,1.016034191
b3071_4,aTc_6,1.055020286
b3071_4,aTc_8,1.044665491
b3164_1,aTc_0,1.091154265
b3164_1,aTc_2,0.894338581
b3164_1,aTc_4,0.888858058
b3164_1,aTc_6,0.961516388
b3164_1,aTc_8,0.878496179
b3164_2,aTc_0,1.057976353
b3164_2,aTc_2,0.828766178
b3164_2,aTc_4,0.871642246
b3164_2,aTc_6,0.929201157
b3164_2,aTc_8,0.941486221
b3164_3,aTc_0,0.979254816
b3164_3,aTc_2,0.770816848
b3164_3,aTc_4,0.918698786
b3164_3,aTc_6,0.9060893
b3164_3,aTc_8,0.841843978
b3164_4,aTc_0,1.002498202
b3164_4,aTc_2,0.827934892
b3164_4,aTc_4,0.891442113
b3164_4,aTc_6,0.803668678
b3164_4,aTc_8,0.854685255
b3417_1,aTc_0,1.016229235
b3417_1,aTc_2,0.942478985
b3417_1,aTc_4,0.776977967
b3417_1,aTc_6,0.82231624
b3417_1,aTc_8,0.757868428
b3417_2,aTc_0,1.024255367
b3417_2,aTc_2,0.888548231
b3417_2,aTc_4,0.779122295
b3417_2,aTc_6,0.963518988
b3417_2,aTc_8,0.765130829
b3417_3,aTc_0,0.989119789
b3417_3,aTc_2,0.853093382
b3417_3,aTc_4,0.820723177
b3417_3,aTc_6,0.785215026
b3417_3,aTc_8,0.731176421
b3417_4,aTc_0,0.984004039
b3417_4,aTc_2,0.839845799
b3417_4,aTc_4,0.639592847
b3417_4,aTc_6,0.777759131
b3417_4,aTc_8,0.724425312
b3560_1,aTc_0,1.011013914
b3560_1,aTc_2,0.90100992
b3560_1,aTc_4,0.606954184
b3560_1,aTc_6,0.522104315
b3560_1,aTc_8,0.509374357
b3560_2,aTc_0,1.112303373
b3560_2,aTc_2,0.985538204
b3560_2,aTc_4,0.560821864
b3560_2,aTc_6,0.747414503
b3560_2,aTc_8,0.53193211
b3560_3,aTc_0,0.921648889
b3560_3,aTc_2,0.810890171
b3560_3,aTc_4,0.620120757
b3560_3,aTc_6,0.52544628
b3560_3,aTc_8,0.465575219
b3560_4,aTc_0,1.075208991
b3560_4,aTc_2,0.835991668
b3560_4,aTc_4,0.65197015
b3560_4,aTc_6,0.750394581
b3560_4,aTc_8,0.495377448
b3590_1,aTc_0,1.043555744
b3590_1,aTc_2,0.838111625
b3590_1,aTc_4,0.780379364
b3590_1,aTc_6,0.803126293
b3590_1,aTc_8,0.681844125
b3590_2,aTc_0,1.057479363
b3590_2,aTc_2,0.844522022
b3590_2,aTc_4,0.802050051
b3590_2,aTc_6,0.898582874
b3590_2,aTc_8,0.764209764
b3590_3,aTc_0,0.949784265
b3590_3,aTc_2,0.737671715
b3590_3,aTc_4,0.716970875
b3590_3,aTc_6,0.741771375
b3590_3,aTc_8,0.698542421
b3590_4,aTc_0,1.017231661
b3590_4,aTc_2,0.827110383
b3590_4,aTc_4,0.817076762
b3590_4,aTc_6,0.839728118
b3590_4,aTc_8,0.770074251
b3602_1,aTc_0,1.011880632
b3602_1,aTc_2,0.978420654
b3602_1,aTc_4,0.947449956
b3602_1,aTc_6,0.934339806
b3602_1,aTc_8,0.934828119
b3602_2,aTc_0,0.998046604
b3602_2,aTc_2,1.03792415
b3602_2,aTc_4,0.928578525
b3602_2,aTc_6,1.004672387
b3602_2,aTc_8,0.96009785
b3602_3,aTc_0,0.955993185
b3602_3,aTc_2,0.947433406
b3602_3,aTc_4,0.927948515
b3602_3,aTc_6,0.873346977
b3602_3,aTc_8,0.877034149
b3602_4,aTc_0,0.929074235
b3602_4,aTc_2,0.981118279
b3602_4,aTc_4,0.916380283
b3602_4,aTc_6,0.922739754
b3602_4,aTc_8,0.938652488
b3686_1,aTc_0,0.992069359
b3686_1,aTc_2,1.033158222
b3686_1,aTc_4,0.98196599
b3686_1,aTc_6,0.949254103
b3686_1,aTc_8,1.00452574
b3686_2,aTc_0,0.964277878
b3686_2,aTc_2,1.004207198
b3686_2,aTc_4,0.93145662
b3686_2,aTc_6,0.997265228
b3686_2,aTc_8,0.957191814
b3686_3,aTc_0,0.96148316
b3686_3,aTc_2,0.995658358
b3686_3,aTc_4,0.951923627
b3686_3,aTc_6,0.915831006
b3686_3,aTc_8,0.929968901
b3686_4,aTc_0,0.913471236
b3686_4,aTc_2,0.953954175
b3686_4,aTc_4,0.916940132
b3686_4,aTc_6,0.966856648
b3686_4,aTc_8,0.950800298
b3725_1,aTc_0,1.022321757
b3725_1,aTc_2,0.94677053
b3725_1,aTc_4,0.771083543
b3725_1,aTc_6,0.651951139
b3725_1,aTc_8,0.631428662
b3725_2,aTc_0,1.007629374
b3725_2,aTc_2,0.977178909
b3725_2,aTc_4,0.766880251
b3725_2,aTc_6,0.701216063
b3725_2,aTc_8,0.702214761
b3725_3,aTc_0,0.977998145
b3725_3,aTc_2,0.857121716
b3725_3,aTc_4,0.786609668
b3725_3,aTc_6,0.693538836
b3725_3,aTc_8,0.650025595
b3725_4,aTc_0,0.913614747
b3725_4,aTc_2,0.91355959
b3725_4,aTc_4,0.790780076
b3725_4,aTc_6,0.591339797
b3725_4,aTc_8,0.700798412
b4000_1,aTc_0,0.945445667
b4000_1,aTc_2,0.988505271
b4000_1,aTc_4,0.916286424
b4000_1,aTc_6,0.878805217
b4000_1,aTc_8,0.862453415
b4000_2,aTc_0,0.9896187
b4000_2,aTc_2,0.998017572
b4000_2,aTc_4,0.940364413
b4000_2,aTc_6,0.972673826
b4000_2,aTc_8,0.952882118
b4000_3,aTc_0,0.894320359
b4000_3,aTc_2,0.98804595
b4000_3,aTc_4,0.883322963
b4000_3,aTc_6,0.839150328
