Genes,aTc,W
b1718_4,aTc_0,1.064036274
b1718_4,aTc_2,0.986512581
b1718_4,aTc_4,1.000738649
b1718_4,aTc_6,0.991864415
b1718_4,aTc_8,1.029806622
b1290_1,aTc_0,0.97295737
b1290_1,aTc_2,1.025282418
b1290_1,aTc_4,0.985416409
b1290_1,aTc_6,0.948964803
b1290_1,aTc_8,0.909734479
b1290_2,aTc_0,1.051225932
b1290_2,aTc_2,1.068188148
b1290_2,aTc_4,1.078217331
b1290_2,aTc_6,0.945310965
b1290_2,aTc_8,0.961536368
b1290_3,aTc_0,0.960231463
b1290_3,aTc_2,0.968140383
b1290_3,aTc_4,0.931895656
b1290_3,aTc_6,0.917545356
b1290_3,aTc_8,0.880098459
b1290_4,aTc_0,1.027723892
b1290_4,aTc_2,1.051763162
b1290_4,aTc_4,0.987877038
b1290_4,aTc_6,0.94355478
b1290_4,aTc_8,0.978108485
b1913_1,aTc_0,0.99462958
b1913_1,aTc_2,0.80954816
b1913_1,aTc_4,1.207799009
b1913_1,aTc_6,0.99190847
b1913_1,aTc_8,1.200302316
b1913_2,aTc_0,1.034720804
b1913_2,aTc_2,0.888700435
b1913_2,aTc_4,0.946302667
b1913_2,aTc_6,1.216917183
b1913_2,aTc_8,1.165321056
b1913_3,aTc_0,0.974514876
b1913_3,aTc_2,1.206723075
b1913_3,aTc_4,1.121304948
b1913_3,aTc_6,1.087156401
b1913_3,aTc_8,0.917379618
b1913_4,aTc_0,1.029491385
b1913_4,aTc_2,1.109741574
b1913_4,aTc_4,1.0009847
b1913_4,aTc_6,1.111406426
b1913_4,aTc_8,1.143736558
b2341_1,aTc_0,0.978215925
b2341_1,aTc_2,0.961676122
b2341_1,aTc_4,0.98216664
b2341_1,aTc_6,0.929524692
b2341_1,aTc_8,0.879144758
b2341_2,aTc_0,1.091748812
b2341_2,aTc_2,0.95600836
b2341_2,aTc_4,0.980737071
b2341_2,aTc_6,0.965691137
b2341_2,aTc_8,0.990410275
b2341_3,aTc_0,0.951608081
b2341_3,aTc_2,0.938995253
b2341_3,aTc_4,0.958899357
b2341_3,aTc_6,0.860890693
b2341_3,aTc_8,0.825813225
b2341_4,aTc_0,1.024726196
b2341_4,aTc_2,0.931942895
b2341_4,aTc_4,0.925144535
b2341_4,aTc_6,1.006217564
b2341_4,aTc_8,0.938948724
b2530_1,aTc_0,1.023337023
b2530_1,aTc_2,0.966099715
b2530_1,aTc_4,0.907229737
b2530_1,aTc_6,0.817503578
b2530_1,aTc_8,0.802490884
b2530_2,aTc_0,1.046552838
b2530_2,aTc_2,1.022846944
b2530_2,aTc_4,0.93617802
b2530_2,aTc_6,0.874703464
b2530_2,aTc_8,0.831768569
b2530_3,aTc_0,1.003721238
b2530_3,aTc_2,0.923171888
b2530_3,aTc_4,0.861763568
b2530_3,aTc_6,0.782136099
b2530_3,aTc_8,0.773404168
b2530_4,aTc_0,1.044701894
b2530_4,aTc_2,0.950413118
b2530_4,aTc_4,0.865687764
b2530_4,aTc_6,0.853155465
b2530_4,aTc_8,0.813931257
b2576_1,aTc_0,1.006022587
b2576_1,aTc_2,0.986811248
b2576_1,aTc_4,1.036109799
b2576_1,aTc_6,0.987623251
b2576_1,aTc_8,0.955938925
b2576_2,aTc_0,1.091743125
b2576_2,aTc_2,1.054675177
b2576_2,aTc_4,1.005128394
b2576_2,aTc_6,0.927808055
b2576_2,aTc_8,0.927219263
b2576_3,aTc_0,0.992582144
b2576_3,aTc_2,0.998107598
b2576_3,aTc_4,0.963095722
b2576_3,aTc_6,0.957548354
b2576_3,aTc_8,0.950134699
b2576_4,aTc_0,1.0927971
b2576_4,aTc_2,0.963785085
b2576_4,aTc_4,0.958421912
b2576_4,aTc_6,0.962244273
b2576_4,aTc_8,0.943511226
b2990_1,aTc_0,0.99008892
b2990_1,aTc_2,0.965295225
b2990_1,aTc_4,0.998055397
b2990_1,aTc_6,0.976995844
b2990_1,aTc_8,1.002021877
b2990_2,aTc_0,1.074435553
b2990_2,aTc_2,1.05428164
b2990_2,aTc_4,1.088410286
b2990_2,aTc_6,0.996886644
b2990_2,aTc_8,1.041421034
b2990_3,aTc_0,0.991284752
b2990_3,aTc_2,0.973500693
b2990_3,aTc_4,0.984365156
b2990_3,aTc_6,0.965204082
b2990_3,aTc_8,0.980973924
b2990_4,aTc_0,1.071534228
b2990_4,aTc_2,1.025867999
b2990_4,aTc_4,1.060264094
b2990_4,aTc_6,1.049392291
b2990_4,aTc_8,1.034481519
b3006_1,aTc_0,1.012429601
b3006_1,aTc_2,0.995157777
b3006_1,aTc_4,1.023604744
b3006_1,aTc_6,1.054624394
b3006_1,aTc_8,1.019904876
b3006_2,aTc_0,1.023923829
b3006_2,aTc_2,0.973830774
b3006_2,aTc_4,0.966492234
b3006_2,aTc_6,0.833682438
b3006_2,aTc_8,0.998187911
b3006_3,aTc_0,1.023467519
b3006_3,aTc_2,0.971990082
b3006_3,aTc_4,0.979912947
b3006_3,aTc_6,1.0039752
b3006_3,aTc_8,0.978050313
b3006_4,aTc_0,1.001148269
b3006_4,aTc_2,0.963529793
b3006_4,aTc_4,0.933887464
b3006_4,aTc_6,0.917983571
b3006_4,aTc_8,0.916013171
b3071_1,aTc_0,1.101947646
b3071_1,aTc_2,1.088127399
b3071_1,aTc_4,1.072673458
b3071_1,aTc_6,1.039353911
b3071_1,aTc_8,1.300883251
b3071_2,aTc_0,1.085336726
b3071_2,aTc_2,1.013688512
b3071_2,aTc_4,1.041978742
b3071_2,aTc_6,1.064867118
b3071_2,aTc_8,1.022066247
b3071_3,aTc_0,1.062830718
b3071_3,aTc_2,1.058717535
b3071_3,aTc_4,1.043427074
b3071_3,aTc_6,1.018444746
b3071_3,aTc_8,0.948773526
b3071_4,aTc_0,1.089716079
