Genes,aTc,W
b1290_1,aTc_6,0.716954686
b1290_1,aTc_8,0.50028056
b1290_2,aTc_0,0.84575362
b1290_2,aTc_2,0.963166633
b1290_2,aTc_4,0.869387563
b1290_2,aTc_6,0.771619365
b1290_2,aTc_8,0.675205004
b1290_3,aTc_0,1.233796621
b1290_3,aTc_2,1.95227982
b1290_3,aTc_4,1.054907284
b1290_3,aTc_6,0.803930256
b1290_3,aTc_8,0.704877487
b1290_4,aTc_0,1.111025797
b1290_4,aTc_2,0.962588129
b1290_4,aTc_4,1.392293163
b1290_4,aTc_6,0.915145402
b1290_4,aTc_8,0.672034269
b1913_1,aTc_0,1.820475555
b1913_1,aTc_2,1.091831826
b1913_1,aTc_4,0.863429992
b1913_1,aTc_6,0.946762017
b1913_1,aTc_8,0.734823882
b1913_2,aTc_0,0.770504859
b1913_2,aTc_2,0.830102322
b1913_2,aTc_4,0.752724113
b1913_2,aTc_6,1.165205301
b1913_2,aTc_8,1.513022487
b1913_3,aTc_0,1.041752128
b1913_3,aTc_2,0.864255693
b1913_3,aTc_4,0.948305776
b1913_3,aTc_6,0.626731353
b1913_3,aTc_8,1.626930228
b1913_4,aTc_0,0.931090412
b1913_4,aTc_2,0.845013595
b1913_4,aTc_4,0.772386445
b1913_4,aTc_6,0.601190067
b1913_4,aTc_8,0.479151737
b2341_1,aTc_0,0.835010234
b2341_1,aTc_2,0.601261331
b2341_1,aTc_4,0.624705982
b2341_1,aTc_6,0.936524292
b2341_1,aTc_8,0.930091023
b2341_2,aTc_0,0.626590071
b2341_2,aTc_2,0.680831563
b2341_2,aTc_4,0.925377352
b2341_2,aTc_6,1.09185027
b2341_2,aTc_8,0.78768097
b2341_3,aTc_0,1.078524281
b2341_3,aTc_2,0.770214778
b2341_3,aTc_4,1.015355373
b2341_3,aTc_6,0.979005359
b2341_3,aTc_8,1.384109875
b2341_4,aTc_0,1.023271857
b2341_4,aTc_2,0.648892576
b2341_4,aTc_4,0.758706971
b2341_4,aTc_6,1.229843013
b2341_4,aTc_8,0.809464681
b2530_1,aTc_0,1.148305025
b2530_1,aTc_2,1.008774394
b2530_1,aTc_4,0.872839983
b2530_1,aTc_6,0.9478231
b2530_1,aTc_8,0.916005409
b2530_2,aTc_0,0.938928375
b2530_2,aTc_2,0.736919566
b2530_2,aTc_4,0.734960264
b2530_2,aTc_6,0.870201108
b2530_2,aTc_8,0.720378461
b2530_3,aTc_0,1.437467359
b2530_3,aTc_2,1.392723524
b2530_3,aTc_4,1.137584218
b2530_3,aTc_6,1.178861195
b2530_3,aTc_8,1.331825308
b2530_4,aTc_0,1.148470884
b2530_4,aTc_2,0.723978947
b2530_4,aTc_4,0.940200427
b2530_4,aTc_6,0.79511239
b2530_4,aTc_8,1.011147899
b2576_1,aTc_0,0.936439731
b2576_1,aTc_2,0.728986993
b2576_1,aTc_4,0.579474433
b2576_1,aTc_6,0.65891236
b2576_1,aTc_8,0.763825911
b2576_2,aTc_0,0.638997826
b2576_2,aTc_2,0.604261897
b2576_2,aTc_4,0.563600839
b2576_2,aTc_6,0.650970833
b2576_2,aTc_8,0.690927922
b2576_3,aTc_0,1.205030235
b2576_3,aTc_2,0.690403327
b2576_3,aTc_4,0.861132834
b2576_3,aTc_6,0.789341247
b2576_3,aTc_8,0.895783513
b2576_4,aTc_0,1.170556421
b2576_4,aTc_2,0.878186184
b2576_4,aTc_4,0.712257129
b2576_4,aTc_6,0.639518576
b2576_4,aTc_8,0.81989635
b2990_1,aTc_0,0.955982006
b2990_1,aTc_2,0.76355211
b2990_1,aTc_4,0.607303761
b2990_1,aTc_6,0.965744774
b2990_1,aTc_8,1.057679473
b2990_2,aTc_0,0.938829756
b2990_2,aTc_2,0.634752259
b2990_2,aTc_4,0.686157474
b2990_2,aTc_6,0.584087669
b2990_2,aTc_8,0.8462701
b2990_3,aTc_0,1.102824814
b2990_3,aTc_2,0.868907034
b2990_3,aTc_4,1.11142423
b2990_3,aTc_6,0.982157857
b2990_3,aTc_8,1.342077629
b2990_4,aTc_0,1.068340214
b2990_4,aTc_2,0.734081248
b2990_4,aTc_4,0.967022041
b2990_4,aTc_6,0.697243577
b2990_4,aTc_8,0.809059777
b3006_1,aTc_0,1.113131079
b3006_1,aTc_2,0.794913656
b3006_1,aTc_4,0.963467441
b3006_1,aTc_6,1.387684156
b3006_1,aTc_8,0.995833247
b3006_2,aTc_0,0.606402495
b3006_2,aTc_2,0.677609797
b3006_2,aTc_4,0.845297745
b3006_2,aTc_6,0.868750642
b3006_2,aTc_8,1.041282333
b3006_3,aTc_0,1.593896248
b3006_3,aTc_2,0.870040047
b3006_3,aTc_4,1.063546425
b3006_3,aTc_6,0.96271701
b3006_3,aTc_8,1.021241102
b3006_4,aTc_0,1.019853032
b3006_4,aTc_2,0.768138809
b3006_4,aTc_4,0.948707293
b3006_4,aTc_6,0.997558835
b3006_4,aTc_8,0.960147577
b3071_1,aTc_0,0.97569629
b3071_1,aTc_2,0.798035015
b3071_1,aTc_4,1.002590496
b3071_1,aTc_6,1.089190737
b3071_1,aTc_8,0.797188281
b3071_2,aTc_0,1.137948908
b3071_2,aTc_2,0.839398836
b3071_2,aTc_4,1.164028166
b3071_2,aTc_6,1.014527006
b3071_2,aTc_8,0.883612943
b3071_3,aTc_0,1.282288541
b3071_3,aTc_2,1.050547082
b3071_3,aTc_4,1.083244758
b3071_3,aTc_6,0.985396054
b3071_3,aTc_8,0.542212455
b3071_4,aTc_0,1.141989853
b3071_4,aTc_2,0.794479971
b3071_4,aTc_4,0.904129562
b3071_4,aTc_6,0.967011848
b3071_4,aTc_8,0.750450399
b3164_1,aTc_0,1.199657108
b3164_1,aTc_2,0.881332365
b3164_1,aTc_4,0.653937135
b3164_1,aTc_6,0.968993013
b3164_1,aTc_8,0.846381685
b3164_2,aTc_0,0.961485658
b3164_2,aTc_2,0.710530588
b3164_2,aTc_4,0.635208842
b3164_2,aTc_6,1.014917319
b3164_2,aTc_8,0.717986967
b3164_3,aTc_0,1.480188783
b3164_3,aTc_2,1.1638722
b3164_3,aTc_4,0.800949295
b3164_3,aTc_6,0.95524672
b3164_3,aTc_8,0.535659738
b3164_4,aTc_0,1.006662142
b3164_4,aTc_2,0.757312779
b3164_4,aTc_4,0.892032494
b3164_4,aTc_6,0.862466384
b3164_4,aTc_8,0.588596935
b3417_1,aTc_0,0.960293811
b3417_1,aTc_2,0.905311247
b3417_1,aTc_4,0.919444993
b3417_1,aTc_6,0.826991705
b3417_1,aTc_8,0.572171208
b3417_2,aTc_0,0.967673479
b3417_2,aTc_2,0.943575806
b3417_2,aTc_4,1.177711268
b3417_2,aTc_6,0.738422436
b3417_2,aTc_8,0.826757273
b3417_3,aTc_0,1.128616644
b3417_3,aTc_2,0.939716679
b3417_3,aTc_4,0.763442682
b3417_3,aTc_6,0.901455255
b3417_3,aTc_8,0.584817917
b3417_4,aTc_0,0.963202772
b3417_4,aTc_2,0.971934211
b3417_4,aTc_4,0.880109151
b3417_4,aTc_6,0.967878075
b3417_4,aTc_8,0.274203159
b3560_1,aTc_0,1.135578569
b3560_1,aTc_2,0.891481421
b3560_1,aTc_4,0.812122129
b3560_1,aTc_6,0.709467906
b3560_1,aTc_8,0.534541917
b3560_2,aTc_0,1.248774546
b3560_2,aTc_2,0.760164688
b3560_2,aTc_4,0.853953967
b3560_2,aTc_6,0.941083806
b3560_2,aTc_8,0.652053678
b3560_3,aTc_0,1.232316665
b3560_3,aTc_2,0.854661714
b3560_3,aTc_4,0.957180618
b3560_3,aTc_6,0.825836917
b3560_3,aTc_8,0.516280825
b3560_4,aTc_0,1.22319685
b3560_4,aTc_2,0.952489762
b3560_4,aTc_4,1.319428251
b3560_4,aTc_6,1.139678979
b3560_4,aTc_8,0.554499459
b3590_1,aTc_0,1.253359898
b3590_1,aTc_2,0.895607403
b3590_1,aTc_4,0.855081242
b3590_1,aTc_6,0.850910317
b3590_1,aTc_8,0.747302192
b3590_2,aTc_0,1.031557451
b3590_2,aTc_2,0.637431217
b3590_2,aTc_4,0.999254115
b3590_2,aTc_6,1.130442874
b3590_2,aTc_8,0.915182826
b3590_3,aTc_0,1.034811704
b3590_3,aTc_2,1.05345702
b3590_3,aTc_4,1.082639763
b3590_3,aTc_6,0.949904638
b3590_3,aTc_8,0.770943172
b3590_4,aTc_0,1.131309689
b3590_4,aTc_2,0.808818434
b3590_4,aTc_4,1.0935478
b3590_4,aTc_6,0.867444619
b3590_4,aTc_8,0.582869089
b3602_1,aTc_0,0.867766558
b3602_1,aTc_2,1.046787953
b3602_1,aTc_4,0.95768124
b3602_1,aTc_6,0.817328557
b3602_1,aTc_8,0.81819269
b3602_2,aTc_0,1.143912399
b3602_2,aTc_2,0.899318661
b3602_2,aTc_4,1.020353049
b3602_2,aTc_6,1.093016809
b3602_2,aTc_8,1.181874993
b3602_3,aTc_0,0.805115401
b3602_3,aTc_2,1.128579334
b3602_3,aTc_4,0.968225943
b3602_3,aTc_6,0.748559483
b3602_3,aTc_8,0.913147604
b3602_4,aTc_0,0.899223962
b3602_4,aTc_2,0.92533945
b3602_4,aTc_4,0.922314671
b3602_4,aTc_6,0.917411591
b3602_4,aTc_8,0.905259535
b3686_1,aTc_0,0.949251598
b3686_1,aTc_2,1.020821502
b3686_1,aTc_4,0.894173366
b3686_1,aTc_6,0.898598936
b3686_1,aTc_8,0.920027392
b3686_2,aTc_0,1.110861143
b3686_2,aTc_2,0.932935534
b3686_2,aTc_4,1.071919327
b3686_2,aTc_6,1.076924948
b3686_2,aTc_8,0.957292038
b3686_3,aTc_0,1.157637674
b3686_3,aTc_2,1.056998865
b3686_3,aTc_4,0.812583691
b3686_3,aTc_6,0.724624019
b3686_3,aTc_8,0.943246023
b3686_4,aTc_0,0.922078943
b3686_4,aTc_2,0.952972317
b3686_4,aTc_4,0.872713522
b3686_4,aTc_6,0.817973394
b3686_4,aTc_8,0.743133524
b3725_1,aTc_0,0.941083606
b3725_1,aTc_2,1.067057768
b3725_1,aTc_4,0.679984382
b3725_1,aTc_6,0.648497851
b3725_1,aTc_8,0.717734552
b3725_2,aTc_0,1.072072271
b3725_2,aTc_2,0.752899913
b3725_2,aTc_4,0.791936675
b3725_2,aTc_6,0.785113704
b3725_2,aTc_8,0.828157334
b3725_3,aTc_0,1.079642652
b3725_3,aTc_2,1.079657987
b3725_3,aTc_4,0.891388995
b3725_3,aTc_6,0.569390952
b3725_3,aTc_8,0.61676983
b3725_4,aTc_0,1.041744271
b3725_4,aTc_2,0.877512785
b3725_4,aTc_4,0.862795288
b3725_4,aTc_6,0.835551796
b3725_4,aTc_8,0.661544273
b4000_1,aTc_0,0.772366508
b4000_1,aTc_2,0.725792674
b4000_1,aTc_4,0.848067612
b4000_1,aTc_6,0.669070913
b4000_1,aTc_8,1.039107839
b4000_2,aTc_0,0.94992082
b4000_2,aTc_2,0.797776352
b4000_2,aTc_4,0.750930239
b4000_2,aTc_6,0.962657541
b4000_2,aTc_8,1.027953542
b4000_3,aTc_0,1.110667214
b4000_3,aTc_2,1.004339518
b4000_3,aTc_4,0.792246008
b4000_3,aTc_6,0.603251392
b4000_3,aTc_8,0.941192376
