Genes,aTc,W
b3602_4,aTc_4,0.82884925
b3602_4,aTc_6,0.905274185
b3602_4,aTc_8,0.886339254
b3686_1,aTc_0,1.047804387
b3686_1,aTc_2,1.106518943
b3686_1,aTc_4,1.125323522
b3686_1,aTc_6,0.977853917
b3686_1,aTc_8,1.083087073
b3686_2,aTc_0,1.008749868
b3686_2,aTc_2,1.002274368
b3686_2,aTc_4,0.995018397
b3686_2,aTc_6,1.058059745
b3686_2,aTc_8,0.965779273
b3686_3,aTc_0,0.895221003
b3686_3,aTc_2,0.921219019
b3686_3,aTc_4,0.98033841
b3686_3,aTc_6,0.901989526
b3686_3,aTc_8,0.926536195
b3686_4,aTc_0,0.903696179
b3686_4,aTc_2,0.872526284
b3686_4,aTc_4,0.790137161
b3686_4,aTc_6,0.868441737
b3686_4,aTc_8,0.924605168
b3725_1,aTc_0,1.135125946
b3725_1,aTc_2,0.973470802
b3725_1,aTc_4,0.906598948
b3725_1,aTc_6,0.805645963
b3725_1,aTc_8,0.799925154
b3725_2,aTc_0,1.081326103
b3725_2,aTc_2,0.935956967
b3725_2,aTc_4,0.879512048
b3725_2,aTc_6,0.811670138
b3725_2,aTc_8,0.820448379
b3725_3,aTc_0,0.878396809
b3725_3,aTc_2,0.773054713
b3725_3,aTc_4,0.744547629
b3725_3,aTc_6,0.628561078
b3725_3,aTc_8,0.617867765
b3725_4,aTc_0,0.876970315
b3725_4,aTc_2,0.801178391
b3725_4,aTc_4,0.730911926
b3725_4,aTc_6,0.655172609
b3725_4,aTc_8,0.639475319
b4000_1,aTc_0,1.06820569
b4000_1,aTc_2,1.057865105
b4000_1,aTc_4,1.053695335
b4000_1,aTc_6,0.961202939
b4000_1,aTc_8,0.967170192
b4000_2,aTc_0,1.095291293
b4000_2,aTc_2,0.965204619
b4000_2,aTc_4,1.011950071
b4000_2,aTc_6,0.990070998
b4000_2,aTc_8,0.964240825
b4000_3,aTc_0,0.898636727
b4000_3,aTc_2,0.789849871
b4000_3,aTc_4,0.832308693
b4000_3,aTc_6,0.801307633
b4000_3,aTc_8,0.786203038
